,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,imdb_score_label
0,723.0,178.0,0.0,855.0,1000.0,760505847.0,886204,4834,0.0,3054.0,237000000.0,2009.0,936.0,7.9,1.78,33000,Good
1,302.0,169.0,563.0,1000.0,40000.0,309404152.0,471220,48350,0.0,1238.0,300000000.0,2007.0,5000.0,7.1,2.35,0,Good
3,813.0,164.0,22000.0,23000.0,27000.0,448130642.0,1144337,106759,0.0,2701.0,250000000.0,2012.0,23000.0,8.5,2.35,164000,Very good
5,462.0,132.0,475.0,530.0,640.0,73058679.0,212204,1873,1.0,738.0,263700000.0,2012.0,632.0,6.6,2.35,24000,Good
6,392.0,156.0,0.0,4000.0,24000.0,336530303.0,383056,46055,0.0,1902.0,258000000.0,2007.0,11000.0,6.2,2.35,0,Good
7,324.0,100.0,15.0,284.0,799.0,200807262.0,294810,2036,1.0,387.0,260000000.0,2010.0,553.0,7.8,1.85,29000,Good
8,635.0,141.0,0.0,19000.0,26000.0,458991599.0,462669,92000,4.0,1117.0,250000000.0,2015.0,21000.0,7.5,2.35,118000,Good
10,673.0,183.0,0.0,2000.0,15000.0,330249062.0,371639,24450,0.0,3018.0,250000000.0,2016.0,4000.0,6.9,2.35,197000,Good
11,434.0,169.0,0.0,903.0,18000.0,200069408.0,240396,29991,0.0,2367.0,209000000.0,2006.0,10000.0,6.1,2.35,0,Good
13,313.0,151.0,563.0,1000.0,40000.0,423032628.0,522040,48486,2.0,1832.0,225000000.0,2006.0,5000.0,7.3,2.35,5000,Good
14,450.0,150.0,563.0,1000.0,40000.0,89289910.0,181792,45757,1.0,711.0,215000000.0,2013.0,2000.0,6.5,2.35,48000,Good
15,733.0,143.0,0.0,748.0,15000.0,291021565.0,548573,20495,0.0,2536.0,225000000.0,2013.0,3000.0,7.2,2.35,118000,Good
16,258.0,150.0,80.0,201.0,22000.0,141614023.0,149922,22697,4.0,438.0,225000000.0,2008.0,216.0,6.6,2.35,0,Good
17,703.0,173.0,0.0,19000.0,26000.0,623279547.0,995415,87697,3.0,1722.0,220000000.0,2012.0,21000.0,8.1,1.85,123000,Very good
18,448.0,136.0,252.0,1000.0,40000.0,241063875.0,370704,54083,4.0,484.0,250000000.0,2011.0,11000.0,6.7,2.35,58000,Good
19,451.0,106.0,188.0,718.0,10000.0,179020854.0,268154,12572,1.0,341.0,225000000.0,2012.0,816.0,6.8,1.85,40000,Good
21,599.0,153.0,464.0,963.0,15000.0,262030663.0,451803,28489,0.0,1225.0,230000000.0,2012.0,10000.0,7.0,2.35,56000,Good
22,343.0,156.0,0.0,738.0,891.0,105219735.0,211765,3244,0.0,546.0,200000000.0,2010.0,882.0,6.7,2.35,17000,Good
23,509.0,186.0,0.0,773.0,5000.0,258355354.0,483540,9152,6.0,951.0,225000000.0,2013.0,972.0,7.9,2.35,83000,Good
24,251.0,113.0,129.0,1000.0,16000.0,70083519.0,149019,24106,2.0,666.0,180000000.0,2007.0,6000.0,6.1,2.35,0,Good
26,315.0,194.0,0.0,794.0,29000.0,658672302.0,793059,45223,0.0,2528.0,200000000.0,1997.0,14000.0,7.7,2.35,26000,Good
27,516.0,147.0,94.0,11000.0,21000.0,407197282.0,272670,64798,0.0,1022.0,250000000.0,2016.0,19000.0,8.2,2.35,72000,Very good
28,377.0,131.0,532.0,627.0,14000.0,65173160.0,202382,26679,0.0,751.0,209000000.0,2012.0,10000.0,5.9,2.35,44000,Average
29,644.0,124.0,365.0,1000.0,3000.0,652177271.0,418214,8458,0.0,1290.0,150000000.0,2015.0,2000.0,7.0,2.0,150000,Good
31,300.0,135.0,0.0,4000.0,24000.0,373377893.0,411164,43388,1.0,1303.0,200000000.0,2004.0,11000.0,7.3,2.35,0,Good
32,608.0,195.0,1000.0,3000.0,21000.0,408992272.0,557489,30426,3.0,1187.0,200000000.0,2013.0,4000.0,7.2,2.35,95000,Good
